股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601607,2023-12-31,按行业分类,其他(补充),1143026854.58,0.004391,648955527.33,0.002834,494071327.25,0.015771,0.432248
601607,2023-12-31,按行业分类,其他,284529321.63,0.001093,249504887.0,0.00109,35024434.63,0.001118,0.123096
601607,2023-12-31,按行业分类,抵消,-10259551804.36,-0.039415,-9850704896.99,-0.043022,-408846907.37,-0.01305,
601607,2023-12-31,按产品分类,分销,233759541445.32,0.898056,219000048725.26,0.95647,14759492720.06,0.471126,0.06314
601607,2023-12-31,按产品分类,工业,26256792197.75,0.100873,10898239514.4,0.047597,15358552683.35,0.490248,0.584936
601607,2023-12-31,按产品分类,零售,9110750928.61,0.035002,8020903244.25,0.035031,1089847684.36,0.034788,0.119622
601607,2023-12-31,按产品分类,其他,1816495297.76,0.006979,1053495491.07,0.004601,762999806.69,0.024355,0.42004
601607,2023-12-31,按产品分类,分部间抵销,-10648490925.91,-0.040909,-10005739973.74,-0.043699,-642750952.17,-0.020517,
601607,2023-12-31,按地区分类,国内销售,255966774117.46,0.983372,226189307279.26,0.987869,29777466838.2,0.950502,0.116333
601607,2023-12-31,按地区分类,国外销售,3185287971.49,0.012237,2128684194.65,0.009297,1056603776.84,0.033727,0.331714
601607,2023-12-31,按地区分类,其他(补充),1143026854.58,0.004391,648955527.33,0.002834,494071327.25,0.015771,0.432248
601607,2023-06-30,按行业分类,分销,118825641794.17,0.896174,111527670875.15,0.965328,7297970919.02,0.427816,0.061417
601607,2023-06-30,按行业分类,工业,14698720305.14,0.110857,5659975566.84,0.04899,9038744738.3,0.529862,0.614934
601607,2023-06-30,按行业分类,零售,4261796082.26,0.032142,3752513861.37,0.03248,509282220.89,0.029855,0.119499
601607,2023-06-30,按行业分类,其他(补充),490420757.21,0.003699,261273077.88,0.002261,229147679.33,0.013433,0.467247
601607,2023-06-30,按行业分类,其他,94981899.96,0.000716,76698280.36,0.000664,18283619.6,0.001072,0.192496
601607,2023-06-30,按行业分类,抵消,-5779403515.37,-0.043588,-5744639530.7,-0.049723,-34763984.67,-0.002038,
601607,2023-06-30,按产品分类,分销,118825641794.17,0.896174,111527670875.15,0.965328,7297970919.02,0.427816,0.061417
601607,2023-06-30,按产品分类,工业,14698720305.14,0.110857,5659975566.84,0.04899,9038744738.3,0.529862,0.614934
601607,2023-06-30,按产品分类,零售,4261796082.26,0.032142,3752513861.37,0.03248,509282220.89,0.029855,0.119499
601607,2023-06-30,按产品分类,其他,693465162.76,0.00523,407405835.52,0.003526,286059327.24,0.016769,0.412507
601607,2023-06-30,按产品分类,分部间抵销,-5887466020.96,-0.044403,-5814074007.98,-0.050324,-73392012.98,-0.004302,
601607,2023-06-30,按地区分类,国内销售,130346500316.64,0.983063,114072517854.35,0.987355,16273982462.29,0.954001,0.124852
601607,2023-06-30,按地区分类,国外销售,1755236249.52,0.013238,1199701198.67,0.010384,555535050.85,0.032566,0.316502
601607,2023-06-30,按地区分类,其他(补充),490420757.21,0.003699,261273077.88,0.002261,229147679.33,0.013433,0.467247
601607,2022-12-31,按行业分类,分销,205732892500.0,0.886851,192190257100.0,0.953822,13542635400.0,0.444219,0.065826
601607,2022-12-31,按行业分类,工业,26757644600.0,0.115344,11091528000.0,0.055046,15666116600.0,0.513873,0.585482
601607,2022-12-31,按行业分类,零售,8263524300.0,0.035622,7220101500.0,0.035833,1043422800.0,0.034226,0.126268
601607,2022-12-31,按行业分类,其他(补充),741242268.67,0.003195,472253032.89,0.002344,268989235.78,0.008823,0.36289
601607,2022-12-31,按行业分类,其他,144093200.0,0.000621,120987600.0,0.0006,23105600.0,0.000758,0.160352
601607,2022-12-31,按行业分类,抵消,-9658097100.0,-0.041633,-9600204100.0,-0.047645,-57893000.0,-0.001899,
601607,2022-12-31,按产品分类,分销,205732892503.17,0.886851,192190257130.75,0.953822,13542635372.42,0.444219,0.065826
601607,2022-12-31,按产品分类,工业,26757644586.87,0.115344,11091527989.93,0.055046,15666116596.94,0.513873,0.585482
601607,2022-12-31,按产品分类,零售,8263524277.58,0.035622,7220101457.49,0.035833,1043422820.09,0.034226,0.126269
601607,2022-12-31,按产品分类,其他,1349100581.71,0.005816,855712202.84,0.004247,493388378.87,0.016184,0.365717
601607,2022-12-31,按产品分类,分部间抵销,-10121862184.82,-0.043632,-9862675693.54,-0.048948,-259186491.28,-0.008502,
601607,2022-12-31,按地区分类,国内销售,228382072800.0,0.984485,199060538700.0,0.987918,29321534100.0,0.961791,0.128388
601607,2022-12-31,按地区分类,国外销售,2857984700.0,0.01232,1962131400.0,0.009738,895853300.0,0.029385,0.313456
601607,2022-12-31,按地区分类,其他(补充),741242268.67,0.003195,472253032.89,0.002344,268989235.78,0.008823,0.36289
